"","LU1997245177","LU0109392836","LU0359201612","LU0823426308","LU0594300179"
"2014-12-17",5.47,10.44,14.02,317.88,13.4
"2014-12-18",5.41,10.68,14.12,322,13.56
"2014-12-19",5.43,10.73,14.38,321.26001,13.64
"2014-12-22",5.41,10.83,14.53,324.98999,13.67
"2014-12-23",5.36,10.82,14.41,322.66,13.62
"2014-12-24",,10.84,,320.89002,13.63
"2014-12-26",,10.87,,,13.85
"2014-12-29",5.58,10.81,14.68,328.89002,13.97
"2014-12-30",5.68,10.74,14.53,326.81,13.88
"2014-12-31",5.82,10.67,14.75,330.57999,13.96
"2015-01-02",,10.66,15.06,335.09,14.01
"2015-01-05",6.04,10.48,15.11,333.62,13.87
"2015-01-06",6.08,10.32,14.99,333.23999,13.77
"2015-01-07",6.11,10.41,15.22,335.60999,13.95
"2015-01-08",6,10.63,15.19,337.22,14.18
"2015-01-09",6.05,10.59,15.21,337.04001,14.1
"2015-01-12",6.05,10.48,15.12,332.66,14.09
"2015-01-13",6.06,10.44,15.19,337.04001,14.3
"2015-01-14",6.05,10.37,15.12,332.34,14.14
"2015-01-15",6.24,10.21,15.43,335.48001,14.31
"2015-01-16",6.28,10.37,15.16,334.42999,14.22
"2015-01-19",5.83,10.37,14.62,322.76001,13.84
"2015-01-20",5.89,10.42,14.89,327.73001,14.02
"2015-01-21",6.16,10.5,15.27,336.01001,14.42
"2015-01-22",6.18,10.63,15.32,336.67999,14.47
"2015-01-23",6.2,10.69,15.62,340.85999,14.61
"2015-01-26",6.18,10.7,15.49,341.91,14.72
"2015-01-27",6.13,10.55,15.31,335.5,14.55
"2015-01-28",6.11,10.47,15.28,335.45001,14.54
"2015-01-29",6.02,10.55,15.08,331.06,14.39
"2015-01-30",5.94,10.44,15.01,328.88,14.26
"2015-02-02",5.81,10.52,14.88,327.51001,14.29
"2015-02-03",5.95,10.62,15.04,332.12,14.49
"2015-02-04",5.94,10.66,15.1,331.25,14.53
"2015-02-05",5.85,10.77,15.15,330.91,14.44
"2015-02-06",5.8,10.73,15.01,326.39002,14.36
"2015-02-09",5.86,10.66,14.94,324.48999,14.25
"2015-02-10",5.97,10.81,14.99,325.82999,14.33
"2015-02-11",6.01,10.87,14.91,323.76999,14.31
"2015-02-12",6.02,11.02,15.08,327.42999,14.42
"2015-02-13",6.05,11.1,15.24,329.98001,14.57
"2015-02-16",6.08,11.1,15.23,329.31,14.59
"2015-02-17",6.11,11.07,15.27,330.48001,14.61
"2015-02-18",,11.1,,330.51001,14.61
"2015-02-19",,11.18,,,14.62
"2015-02-20",,11.28,,,14.61
"2015-02-23",,11.2,15.29,331.67999,14.6
"2015-02-24",,11.21,15.33,332.88,14.73
"2015-02-25",6.01,11.26,15.34,333.22,14.63
"2015-02-26",6.14,11.33,15.48,336.72,14.7
"2015-02-27",6.13,11.28,15.44,336.20999,14.67
"2015-03-02",6.2,11.45,15.46,337.85999,14.71
"2015-03-03",6.02,11.34,15.2,332.67001,14.54
"2015-03-04",6.04,11.29,14.99,328.37,14.43
"2015-03-05",6.02,11.33,14.79,328.29999,14.36
"2015-03-06",5.99,11.19,14.89,327.09,14.32
"2015-03-09",6.05,11.21,14.93,328.70999,14.37
"2015-03-10",6.06,11,14.71,321.44,14.04
"2015-03-11",6.06,10.99,14.65,320.41,14.05
"2015-03-12",6.15,11.11,14.76,324.20001,14.2
"2015-03-13",6.2,11.08,14.83,323.31,14.1
"2015-03-16",6.36,11.21,14.95,329.25,14.38
"2015-03-17",6.42,11.18,14.99,328.37,14.33
"2015-03-18",6.58,11.3,15.16,331.73999,14.44
"2015-03-19",6.62,11.33,15.29,334.29999,14.59
"2015-03-20",6.71,11.41,15.29,335.35999,14.75
"2015-03-23",6.84,11.35,15.38,337.26001,14.8
"2015-03-24",6.84,11.31,15.28,335.31,14.74
"2015-03-25",6.81,11.01,15.24,335.53,14.7
"2015-03-26",6.79,10.98,15.16,331.79001,14.7
"2015-03-27",6.86,11.08,15.19,334.17001,14.73
"2015-03-30",7.08,11.18,15.63,342.48999,15.03
"2015-03-31",7.07,11.08,15.67,342.73999,15.04
"2015-04-01",7.23,11.02,15.85,348.16,15.22
"2015-04-02",7.26,11.04,16.049999,353.32999,15.4
"2015-04-03",,,,,15.38
"2015-04-06",,11.12,,,15.54
"2015-04-07",,11.14,16.049999,,15.52
"2015-04-08",7.58,11.23,17.139999,371.95001,16.37
"2015-04-09",7.53,11.27,17.73,378.56,16.72
"2015-04-10",7.63,11.3,17.92,382.32001,16.84
"2015-04-13",7.66,11.24,18.879999,395.25,17.01
"2015-04-14",7.64,11.22,18.209999,384.23001,16.56
"2015-04-15",7.51,11.31,18.33,386.79001,16.45
"2015-04-16",7.74,11.32,18.709999,391.26001,16.68
"2015-04-17",7.82,11.11,18.67,384.72,16.33
"2015-04-20",7.6,11.24,18.040001,380.42001,16.31
"2015-04-21",7.78,11.34,18.549999,390.88,16.67
"2015-04-22",8,11.43,18.93,395.04001,16.81
"2015-04-23",8.02,11.38,18.66,394.07001,16.79
"2015-04-24",7.93,11.36,18.83,394.34,16.93
"2015-04-27",8.03,11.33,18.93,400.03,17.08
"2015-04-28",7.92,11.28,18.950001,398.54001,17.05
"2015-04-29",8.04,11.25,18.82,396.29999,16.91
"2015-04-30",8.04,11.12,18.709999,391.35001,16.8
"2015-05-01",,11.18,,,16.81
"2015-05-04",8.07,11.2,18.84,392.78,16.87
"2015-05-05",7.78,11.07,18.42,383.91,16.48
"2015-05-06",7.76,11.05,18.219999,380.62,16.46
"2015-05-07",7.66,11.15,17.719999,373.98001,16.28
"2015-05-08",7.81,11.29,18.200001,382.81,16.61
"2015-05-11",8.01,11.26,18.4,386.42999,16.69
"2015-05-12",8.06,11.2,18.15,380.78,16.53
"2015-05-13",8,11.23,18.09,379.60001,16.45
"2015-05-14",,11.38,,,16.51
"2015-05-15",7.78,11.36,18.290001,383.32001,16.68
"2015-05-18",7.71,11.42,18.16,381.51999,16.63
"2015-05-19",8.03,11.39,18.360001,387.59,16.82
"2015-05-20",8.07,11.38,18.48,386.73001,16.76
"2015-05-21",8.28,11.44,18.26,386.20999,16.74
"2015-05-22",8.45,11.46,18.719999,392.56,17.09
"2015-05-25",,,,,17.11
"2015-05-26",8.89,11.35,18.870001,399.89002,17.26
"2015-05-27",8.84,11.51,18.790001,399.10001,17.21
"2015-05-28",8.31,11.5,18.25,385.19,16.71
"2015-05-29",8.32,11.43,18.02,385.53,16.63
"2015-06-01",8.69,11.46,18.389999,390.94,16.78
"2015-06-02",8.81,11.44,18.309999,388.87,16.65
"2015-06-03",8.72,11.5,18.25,388.75,16.64
"2015-06-04",8.79,11.41,18.219999,388.44,16.53
"2015-06-05",8.93,11.46,18.07,384.88,16.42
"2015-06-08",9.03,11.32,18.190001,386.92001,16.48
"2015-06-09",8.94,11.31,17.83,378.95001,16.13
"2015-06-10",9.03,11.49,17.639999,377.48999,16.19
"2015-06-11",9.03,11.48,17.76,381.70999,16.27
"2015-06-12",9.11,11.43,18.059999,385.57999,16.44
