"","LU0093503810","IE00B11XZ988","LU1003076939","LU0006061385","LU0294219869"
"427",15.86,25.03,9.12,27.17,19.85
"428",15.86,24.99,9.11,27.17,19.53
"429",15.85,24.9,9.08,27.2,19.02
"430",15.85,24.82,9.1,27.06,19.17
"431",15.85,24.76,9.09,27.01,19.41
"432",15.85,24.87,9.09,26.99,19.83
"433",15.85,24.88,9.09,27.05,19.93
"434",15.85,24.87,9.1,27.03,19.86
"435",15.85,24.81,9.09,26.98,19.63
"436",15.85,24.78,9.09,26.96,19.69
"437",15.85,24.83,9.09,26.99,19.72
"438",15.86,24.83,9.09,27.06,19.5
"439",15.86,24.805,9.09,27.07,19.41
"440",15.86,24.78,9.09,27.06,19.55
"441",15.86,24.82,9.1,27.02,19.58
"442",15.86,24.8,9.09,27.05,19.57
"443",15.85,24.83,9.09,27.06,19.53
"444",15.85,24.82,9.09,27.07,19.57
"445",15.85,24.71,9.09,27.01,19.69
"446",15.85,24.7,9.09,26.95,19.75
"447",15.85,24.82,9.09,26.94,19.64
"448",15.85,24.89,9.09,27.11,19.72
"449",15.85,24.81,9.09,27.09,19.75
"450",15.83,24.85,9.08,27.09,19.57
"451",15.83,24.83,9.08,27.1,19.34
"452",15.83,24.79,9.06,27.15,19.38
"453",15.82,24.75,9.07,27.07,19.4
"454",15.82,24.73,9.05,27.09,19.18
"455",15.81,24.72,9.04,27.12,19.15
"456",15.81,24.73,9.05,27.12,19.39
"457",15.82,24.8,9.05,27.17,19.38
"458",15.82,24.87,9.04,27.25,19.45
"459",15.82,24.86,9.07,27.2,19.69
"460",15.83,24.9,9.08,27.15,19.65
"461",15.83,24.9,9.09,27.18,19.85
"462",15.83,24.86,9.09,27.21,20
"463",15.84,24.86,9.1,27.2,20.01
"464",15.84,24.92,9.09,27.22,19.99
"465",15.84,24.88,9.09,27.23,19.74
"466",15.83,24.91,9.08,27.27,19.74
"467",15.83,24.89,9.09,27.27,20
"468",15.83,24.91,9.09,27.28,19.93
"469",15.83,24.92,9.1,27.27,19.89
"470",15.84,24.89,9.1,27.22,19.81
"471",15.83,24.93,9.09,27.25,19.71
"472",15.84,24.98,9.1,27.31,20.09
"473",15.85,24.97,9.11,27.32,20.2
"474",15.86,24.96,9.11,27.34,20.16
"475",15.86,24.98,9.1,27.38,20.08
"476",15.86,24.92,9.11,27.38,20.2
"477",15.86,24.85,9.11,27.31,20.13
"478",15.85,24.88,9.1,27.26,20.13
"479",15.85,24.89,9.11,27.23,20.15
"480",15.85,24.86,9.11,27.22,20.32
"481",15.86,24.83,9.11,27.22,20.4
"482",15.85,24.8,9.11,27.17,20.32
"483",15.85,24.78,9.11,27.08,20.43
"484",15.85,24.74,9.1,27,20.32
"485",15.85,24.75,9.09,27.04,20.39
"486",15.86,24.71,9.1,27.06,20.41
"487",15.85,24.72,9.09,27.08,20.29
"488",15.85,24.75,9.09,27.12,20.25
"489",15.85,24.75,9.09,27.14,20.32
