"","LU0261952922","LU0811022283","LU0249332452","LU0170475312","LU0029872446"
"958",10.923,8.557,136.45,30.26,8.62
"959",10.9232,8.564,136.45,30.46,8.62
"960",10.9234,8.557,137.28,30.3,8.62
"961",10.9236,8.556,137.27,30.26,8.62
"962",10.9243,8.554,136.69,30.58,8.61
"963",10.9245,8.545,135.53,30.6,8.59
"964",10.9248,8.569,135.44,30.74,8.59
"965",10.925,8.536,134.98,30.77,8.6
"966",10.9252,8.546,134.22,30.79,8.6
"967",10.926,8.54,133.98,30.84,8.59
"968",10.9262,8.527,133.76,30.76,8.59
"969",10.9264,8.524,133.69,30.97,8.59
"970",10.9266,8.527,133.75,30.89,8.58
"971",10.9268,8.531,134.07,30.92,8.59
"972",10.9275,8.539,134.58,30.8,8.6
"973",10.9277,8.54,134.17,30.85,8.6
"974",10.9279,8.523,133.57,30.78,8.59
"975",10.9282,8.513,133.69,30.74,8.6
"976",10.9284,8.513,133.63,30.83,8.59
"977",10.9291,8.515,133.76,30.9,8.6
"978",10.9293,8.514,133.68,30.89,8.61
"979",10.9295,8.515,133.72,30.95,8.61
"980",10.9298,8.517,133.66,30.93,8.6
"981",10.93,8.503,133.82,30.83,8.59
"982",10.9307,8.51,133.93,30.72,8.59
"983",10.9309,8.519,134.26,30.61,8.58
"984",10.9311,8.531,134.4,30.6,8.59
"985",10.9314,8.535,134.71,30.57,8.59
"986",10.9316,8.554,134.84,30.54,8.6
"987",10.9323,8.554,135.03,30.58,8.59
"988",10.9325,8.553,135.33,30.65,8.59
"989",10.9328,8.544,134.49,30.7,8.58
"990",10.933,8.549,134.62,30.6,8.58
"991",10.9332,8.534,133.82,30.71,8.57
"992",10.9339,8.54,133.99,30.62,8.58
"993",10.9342,8.536,133.65,30.6,8.57
"994",10.9344,8.525,133.55,30.64,8.57
"995",10.9346,8.527,133.57,30.62,8.56
"996",10.9349,8.525,133.53,30.69,8.57
"997",10.9356,8.535,134.03,30.47,8.58
"998",10.9358,8.541,134.45,30.59,8.58
"999",10.936,8.542,134.785,30.68,8.58
"1000",10.9363,8.543,135.12,30.71,8.58
"1001",10.9365,8.547,134.71,30.63,8.59
"1002",10.9372,8.552,134.94,30.69,8.59
"1003",10.9375,8.552,135.93,30.64,8.59
"1004",10.9377,8.544,136.05,30.67,8.59
"1005",10.938,8.54,135.81,30.61,8.57
"1006",10.9382,8.526,135.1,30.57,8.56
"1007",10.9389,8.515,135.23,30.56,8.56
"1008",10.9392,8.514,135.32,30.34,8.57
"1009",10.9394,8.531,135.56,30.21,8.58
"1010",10.9397,8.526,135.21,30.44,8.57
"1011",10.9399,8.533,135.32,30.44,8.57
"1012",10.9406,8.534,135.65,30.54,8.57
"1013",10.9408,8.539,135.85,30.59,8.57
"1014",10.9411,8.538,135.89,30.49,8.58
"1015",10.9413,8.548,136.12,30.51,8.58
"1016",10.9415,8.537,135.95,30.51,8.58
"1017",10.9423,8.532,136.05,30.51,8.57
"1018",10.9425,8.536,135.81,30.66,8.57
"1019",10.9428,8.529,135.21,30.7,8.56
"1020",10.943,8.527,134.9,30.7,8.55
"1021",10.9432,8.526,136.01,30.65,8.57
"1022",10.944,8.53,135.59,30.83,8.57
"1023",10.9442,8.53,136.23,30.81,8.58
"1024",10.9445,8.545,136.42,30.77,8.58
"1025",10.9447,8.536,135.97,30.77,8.58
"1026",10.9449,8.528,135.81,30.84,8.57
"1027",10.9457,8.528,136.1,30.8,8.55
"1028",10.9459,8.522,136.1,30.74,8.55
"1029",10.9462,8.526,136.02,30.57,8.56
"1030",10.9464,8.529,136.51,30.48,8.56
"1031",10.9467,8.536,136.53,30.6,8.56
"1032",10.9475,8.543,136.32,30.67,8.55
"1033",10.9477,8.536,135.27,30.69,8.54
"1034",10.948,8.531,135.1,30.73,8.53
"1035",10.9483,8.524,135.32,30.59,8.53
"1036",10.9485,8.519,135.47,30.46,8.53
"1037",10.9497,8.5215,135.92,30.43,8.53
"1038",10.9499,8.524,136.37,30.42,8.55
"1039",10.9502,8.533,136.02,30.29,8.54
"1040",10.9505,8.531,136.17,30.3,8.55
"1041",10.9517,8.529,135.42,30.48,8.54
"1042",10.952,8.539,136.18,30.66,8.55
"1043",10.9523,8.534,136.28,30.68,8.55
"1044",10.9526,8.544,135.93,30.81,8.54
"1045",10.9536,8.552,135.94,30.84,8.54
"1046",10.9539,8.566,135.58,30.84,8.53
"1047",10.9542,8.531,135.59,30.7,8.53
"1048",10.9546,8.534,135.41,30.67,8.53
"1049",10.9549,8.536,135.34,30.65,8.53
"1050",10.9558,8.543,135.23,30.58,8.53
"1051",10.9562,8.545,135.52,30.56,8.53
"1052",10.9565,8.537,135.45,30.78,8.51
"1053",10.9568,8.526,135.24,30.84,8.5
"1054",10.9571,8.52,135.21,30.92,8.49
"1055",10.9581,8.517,135.02,30.84,8.49
"1056",10.9584,8.522,135.18,30.65,8.5
"1057",10.9587,8.517,134.76,30.68,8.49
"1058",10.9591,8.515,134.75,30.65,8.5
"1059",10.9594,8.514,134.7,30.6,8.49
"1060",10.9604,8.502,134.64,30.63,8.48
"1061",10.9607,8.493,134.3,30.49,8.47
"1062",10.961,8.493,134.15,30.63,8.47
"1063",10.9613,8.488,133.79,30.77,8.46
"1064",10.9616,8.461,133.57,30.73,8.45
"1065",10.9626,8.454,133.88,30.48,8.47
"1066",10.9629,8.454,133.7,30.69,8.45
"1067",10.9632,8.452,133.65,30.75,8.44
"1068",10.9635,8.431,133.24,30.56,8.45
"1069",10.9638,8.406,133.19,30.58,8.44
"1070",10.9647,8.413,132.59,30.54,8.44
"1071",10.9651,8.406,132.59,30.35,8.45
"1072",10.9654,8.401,132.33,30.38,8.42
"1073",10.9657,8.396,132.5,30.29,8.42
"1074",10.966,8.402,133.05,30.39,8.44
"1075",10.967,8.402,132.83,30.41,8.44
"1076",10.9673,8.397,133.09,30.43,8.44
"1077",10.9677,8.406,132.97,30.52,8.42
"1078",10.968,8.397,132.91,30.42,8.42
"1079",10.9683,8.4,133.27,30.49,8.43
"1080",10.9693,8.41,133.5,30.45,8.43
"1081",10.9696,8.411,133.02,30.5,8.43
"1082",10.97,8.406,133.6,30.38,8.43
"1083",10.9703,8.416,133.97,30.2,8.45
"1084",10.9706,8.415,133.78,30.15,8.44
"1085",10.9716,8.419,133.32,30.27,8.43
"1086",10.972,8.414,133.13,30.24,8.43
"1087",10.9723,8.411,133.29,30.19,8.43
"1088",10.9727,8.391,133.59,30.28,8.43
"1089",10.973,8.403,133.14,30.4,8.43
"1090",10.9741,8.408,133.22,30.36,8.43
"1091",10.9745,8.41,133.52,30.34,8.44
"1092",10.9748,8.413,134.04,30.3,8.44
"1093",10.9752,8.418,134.22,30.3,8.44
"1094",10.9756,8.414,134.13,30.38,8.44
"1095",10.9767,8.413,134.13,30.3,8.43
"1096",10.9771,8.397,133.97,30.45,8.42
"1097",10.9775,8.387,133.84,30.47,8.43
"1098",10.9779,8.409,134.65,30.31,8.44
"1099",10.9783,8.396,134.59,30.22,8.44
"1100",10.9796,8.396,134.57,30.36,8.43
"1101",10.98,8.399,134.66,30.36,8.45
"1102",10.9804,8.411,134.95,30.65,8.45
"1103",10.9808,8.411,135.54,30.69,8.46
"1104",10.9812,8.412,135.32,30.655,8.46
"1105",10.9824,8.4125,135.21,30.62,8.46
"1106",10.9828,8.413,135.1,30.77,8.46
"1107",10.9832,8.415,134.89,30.85,8.46
"1108",10.9836,8.409,134.35,30.99,8.46
"1109",10.984,8.411,134.65,30.75,8.47
"1110",10.9853,8.413,134.69,30.6,8.47
"1111",10.9858,8.421,134.54,30.67,8.46
"1112",10.9862,8.425,135.02,30.67,8.47
"1113",10.9866,8.417,134.4,30.78,8.46
"1114",10.9871,8.415,134.54,30.81,8.46
"1115",10.9884,8.414,134.21,30.76,8.46
"1116",10.9888,8.412,134.52,30.75,8.46
"1117",10.9893,8.409,134.31,30.82,8.45
