ISIN	ifund_name_chinese
LU0941570995	安本標準 - 日本小型公司基金 A2類 Acc 美元(對沖)
LU0728926402	安本標準 - 巴西股票基金 A2類 Acc 美元
LU0566484027	安本標準 - 北美小型公司基金 A類 Acc 美元
LU1124234946	安本標準 - 多元化收益基金 A類 Acc 美元
LU1124234862	安本標準 - 多元化收益基金 A類 MDis 美元
HK0000065166	東亞聯豐港元債券基金 R類 港元
HK0000107257	東亞聯豐亞太區多元收益基金 A類 Dis 美元
HK0000107265	東亞聯豐亞太區多元收益基金 A類 Dis 港元
HK0000194255	東亞聯豐亞太區多元收益基金 A類 Dis 人民幣 對沖
HK0000065216	東亞聯豐亞洲債券及貨幣基金 A類 Dis 美元
HK0000081361	東亞聯豐亞洲債券及貨幣基金 H類 Dis 港元
HK0000074176	東亞聯豐中國A股股票基金 A類 美元
HK0000141801	東亞聯豐中國鳳凰基金 A類 美元
HK0000176732	東亞聯豐人民幣核心債券基金 A類 Inc 人民幣
HK0000176740	東亞聯豐人民幣核心債券基金 A類 Inc 港元
HK0000224201	東亞聯豐亞太區靈活配置基金 A類 MDis 美元
HK0000224227	東亞聯豐亞太區靈活配置基金 A類 Dis 澳元 (對沖)
HK0000065125	東亞聯豐香港增長基金 R 類 港元
HK0000288032	東亞聯豐中國高收益入息基金 A類 Dis 美元
HK0000288040	東亞聯豐中國高收益入息基金 A類 Dis 港元
HK0000288065	東亞聯豐中國高收益入息基金 A類 Dis 人民幣 對沖
HK0000288057	東亞聯豐中國高收益入息基金 A類 Dis 澳元 對沖
HK0000257433	東亞聯豐中國滙通基金 A類 Dis 港元
HK0000257441	東亞聯豐中國滙通基金 A類 Dis 美元
HK0000257458	東亞聯豐中國滙通基金 A類 Acc 美元
HK0000375474	東亞聯豐中國滙通基金 A類 Dis 澳元 (對沖)
HK0000375482	東亞聯豐中國滙通基金 A類 Dis 人民幣 (對沖)
HK0000464054	東亞聯豐亞洲債券目標年期基金2022 A類 Dis 港元
HK0000065208	東亞聯豐亞洲債券及貨幣基金 A類 Acc 美元
GB0000796242	霸菱歐洲精選基金 A類 Inc 英鎊
IE0000835953	霸菱成熟及新興市場高收益債券基金 A類 Inc 美元
IE0000829568	霸菱國際債券基金 A類 Inc 美元
IE0000828933	霸菱拉丁美洲基金 A類 Inc 美元
IE0000830459	霸菱美元儲備基金 A類 Acc 美元
IE0000829121	霸菱歐洲基金A類 Inc 美元
IE0000838189	霸菱韓國聯接基金 A類 Acc 美元
IE0000805634	霸菱東歐基金A類 Inc 美元
GB0000840719	霸菱韓國基金 Acc 英鎊
IE0004866772	霸菱歐洲基金A類 Inc 歐元
IE0004852103	霸菱東歐基金A類 Inc 歐元
IE0030016244	霸菱環球領先基金 A類 Inc 美元
IE0000830129	霸菱亞洲增長基金 A類 Inc 美元
IE0004851352	霸菱環球資源基金A類 Inc 歐元
IE0000931182	霸菱環球資源基金A類 Inc 美元
IE0000838304	霸菱全球新興市場基金 A類 Inc 美元
IE0000829238	霸菱香港中國基金 A類 Inc 美元
GB0030655780	霸菱歐洲精選基金 A類 Inc 歐元
IE0032158457	霸菱成熟及新興市場高收益債券基金 A類 Inc 美元 (MDis)
IE0004851808	霸菱成熟及新興市場高收益債券基金 A類 Inc 歐元
IE0004851022	霸菱拉丁美洲基金 A類 Inc 歐元
IE0033156484	霸菱成熟及新興市場高收益債券基金 A類 Inc 英鎊 (對沖)
IE0000829451	霸菱澳洲基金 A類 Inc 美元
GB0000822576	霸菱德國增長基金 Acc 英鎊
IE0004866889	霸菱香港中國基金 A類 Inc 歐元
GB0000804335	霸菱歐洲增長基金 Inc 英鎊
IE0030165983	霸菱傾亞均衡基金A類 Acc 美元
IE0004868604	霸菱亞洲增長基金 A類 Inc 歐元
IE0000830236	霸菱大東協基金 A類 Inc 美元
GB0000799923	霸菱東方明珠基金 Acc 英鎊
IE0004850503	霸菱全球新興市場基金 A類 Inc 歐元
IE0004866996	霸菱國際債券基金 A類 Inc 歐元
IE00B2NG2T18	霸菱中國精選基金 A類 Inc 美元
IE0004866665	霸菱澳洲基金 A類 Inc 歐元
IE00B3YQ9180	霸菱澳洲基金 A類 Inc 澳元
IE0004868828	霸菱大東協基金 A類 Inc 歐元
IE00B4YN5X00	霸菱香港中國基金 A類 Inc 港元
IE00B62P4Q86	霸菱成熟及新興市場高收益債券基金 A類 Inc 港元 (MDis)
IE00B237VG42	霸菱傾亞均衡基金A類 Inc 美元
GB0008192063	霸菱德國增長基金 Acc 歐元
IE0030016467	霸菱環球領先基金 A類 Inc 英鎊
GB00B3B9VC56	霸菱環球農業基金A 類Acc 美元
GB00B3B9V927	霸菱環球農業基金A 類Acc 英鎊
IE00BFDTF255	霸菱大東協基金 A類 Acc 澳元 (對沖)
IE00B881PF08	霸菱成熟及新興市場高收益債券基金 A類 MDis 澳元 (對沖)
GB00BXVMKV60	霸菱德國增長基金 Acc 美元 (對沖)
HK0000245693	霸菱環球多元收益基金 A類 Dis 美元
HK0000245685	霸菱環球多元收益基金 A類 Acc 美元
HK0000245677	霸菱環球多元收益基金 A類 Dis 港元
HK0000245669	霸菱環球多元收益基金 A類 Acc 港元
HK0000245719	霸菱環球多元收益基金 A類 Dis 人民幣 對沖
HK0000245701	霸菱環球多元收益基金 A類 Acc 人民幣 對沖
GB00BF2H6H20	霸菱歐洲精選基金 A類 Acc 美元
IE00BFM0MP15	霸菱環球高收益債券基金 G類 Acc 美元
IE00BFM0MQ22	霸菱環球高收益債券基金 G類 Dis 美元
IE00BFM0MX98	霸菱環球高收益債券基金 G類 Dis 澳元
IE00BFM0L103	霸菱環球高級抵押債券基金 G類 Acc 美元
IE00BFM0L210	霸菱環球高級抵押債券基金 G類 Dis 美元
IE00BFM0L764	霸菱環球高級抵押債券基金 G類 Acc 澳元
IE00BFM0L871	霸菱環球高級抵押債券基金 G類 Dis 澳元
HK0000098829	華夏精選人民幣債券基金 A類 Dis 人民幣
LU0531876844	華夏中國機會基金 A類 Acc 美元
HK0000439627	華夏精選固定收益配置基金A HKD Acc
HK0000439601	華夏精選固定收益配置基金A USD Acc
HK0000301942	華夏精選亞洲債券基金A USD Acc
LU0455925619	Alquity 非洲基金 A類 Acc 美元
LU1049765578	Alquity 拉丁美洲基金 A類 Acc 美元
LU1049766626	Alquity 亞洲基金 A類 Acc 美元
LU1049767863	Alquity 印度次大陸基金 A類 Acc 美元
CNE1000026R9	建信雙息紅利債券型證券投資基金 H類 Dis 人民幣
CNE1000026Q1	建信優選成長混合型證券投資基金 H類 Dis 人民幣
LU0048573645	富達基金 - 東協基金 A類 Dis 美元
LU0048575426	富達基金 - 新興市場基金 A類 Dis 美元
LU0061175625	富達基金 - 歐洲小型公司基金 A類 Dis 歐元
LU0048580855	富達基金 - 大中華基金 A類 Dis 美元
LU0048585144	富達基金 - 日本基金A類日圓
LU0048587603	富達基金 - 日本小型公司基金 A類 Dis 日圓
LU0048588080	富達基金 - 北歐基金A類瑞典克朗
LU0048597586	富達基金 - 亞洲焦點 A類 Dis 美元
LU0048621477	富達基金 - 泰國基金 A類 Dis 美元
LU0054237671	富達基金 - 亞洲特別機會基金A類美元
LU0048584097	富達基金 - 國際基金 A類 Dis 美元
LU0048578792	富達基金 - 歐洲增長基金 A類 Dis 歐元
LU0048579097	富達基金- 歐元債券基金A類歐元
LU0055114457	富達基金 - 印尼基金 A類 Dis 美元
LU0048622798	富達基金 - 美元債券基金 A類 Dis 美元
LU0050427557	富達基金 - 拉丁美洲基金 A類 Dis 美元
LU0048587868	富達基金 - 馬來西亞基金 A類 Dis 美元
LU0048580004	富達基金 - 德國基金 A類 歐元
LU0048588163	富達基金 - 新加坡基金A類美元
LU0075458603	富達基金 - 臺灣基金 A類 Dis 美元
LU0099575291	富達基金  -環球電訊基金A類歐元
LU0099574567	富達基金 - 環球科技基金 A類 歐元
LU0077335932	富達基金 - 美國增長基金 A類 Dis 美元
LU0088814487	富達基金- 歐元藍籌基金 A類 歐元
LU0048574536	富達基金 - 澳洲基金 A類 Dis 澳元
LU0114720955	富達基金 - 環球健康護理基金 A類 Dis 歐元
LU0114722498	富達基金 - 環球金融服務基金 A類 Dis 歐元
LU0114721508	富達基金 - 環球消費行業基金 A類 歐元
LU0048579410	富達基金- 法國基金A類歐元
LU0069449576	富達基金- 世界基金 A類 歐元
LU0064963852	富達基金 - 美元現金基金 A類 Dis 美元
LU0049112450	富達基金 - 太平洋基金 A類 Dis 美元
LU0048620586	富達基金 - 靈活債券基金 A類 英鎊
LU0048573561	富達基金 - 美國基金 A類 Dis 美元
LU0110060430	富達基金 - 歐洲高收益基金A類歐元
LU0064964074	富達基金 - 歐元現金基金 A類 Dis 歐元
LU0138981039	富達基金 - 環球「息」增長基金A類美元
LU0048582984	富達基金 - 環球債券基金 A類 Dis 美元
LU0161332480	富達基金 - 日本領先基金 A類 Dis 日圓
LU0119124781	富達基金 - 歐洲動力增長基金 A類 Dis 歐元
LU0173614495	富達基金 - 中國焦點基金 A類 Dis 美元
LU0205439572	富達基金 - 亞太股息基金 A類 Dis 美元
LU0197229882	富達基金 - 印度焦點基金 A類 Dis 美元
LU0119124278	富達基金 - 歐洲大型公司基金 A類 歐元
LU0052588471	富達基金 - 歐元均衡基金 A類 歐元
LU0114722902	富達基金 - 環球工業基金 A類 Dis 歐元
LU0132282301	富達基金 - 美元高收益基金 A類 Dis 美元
LU0054754816	富達基金 - 瑞士基金 A類 瑞士法郎
LU0238205958	富達基金 - 新興市場債券基金 A類 Acc 美元
LU0238205289	富達基金 - 新興市場債券基金 A類 Acc 歐元
LU0048581077	富達基金 - 西班牙/葡萄牙基金 A類 歐元
LU0069450319	富達基金 - 歐盟50TM基金 A類 歐元
LU0237698914	富達基金 - 環球房地產基金 A類 Acc 美元
LU0303823156	富達基金 - 新興「歐非中東」基金 A類 Acc 美元
LU0261947096	富達基金 - 亞洲焦點 A類 Acc 美元
LU0303816705	富達基金 - 新興「歐非中東」基金 A類 Acc 歐元
LU0261946445	富達基金 - 亞洲焦點 A類 Acc 歐元
LU0261950470	富達基金 - 新興市場基金 A類 Acc 美元
LU0261946288	富達基金 - 環球債券基金 A類 Acc 美元
LU0329678337	富達基金 - 新興亞洲基金 A類 Acc 美元
LU0353648891	富達基金 - 環球通脹連繫債券基金 A類 Acc 美元
LU0168057262	富達基金 - 美元高收益基金 A類 MDis 美元
LU0318931192	富達基金 - 中國焦點基金 A類 Acc 歐元
LU0251130802	富達基金 - 歐洲高收益基金A類Acc歐元
LU0353649279	富達基金 - 環球通脹連繫債券基金 A類 Acc 歐元 (對沖)
LU0261952419	富達基金 - 環球健康護理基金 A類 Acc 歐元
LU0197230542	富達基金 - 印度焦點基金 A類 Dis 歐元
LU0286668453	富達基金 - 亞洲高收益基金 A類 Acc 美元
LU0303816028	富達基金 - 新興「歐非中東」基金 A類 Dis 歐元
LU0261945553	富達基金 - 東協基金 A類 Acc 美元
LU0286669428	富達基金 - 亞洲高收益基金 A類 MDis 美元
LU0329678410	富達基金 - 新興亞洲基金 A類 Acc 歐元
LU0251131958	富達基金 - 美國基金 A類 Acc 美元
LU0390710027	富達基金 - 環球短期債券基金 A類 Acc 美元
LU0882574139	富達基金 - 環球消費行業基金 A類 Acc 美元
LU0772969993	富達基金 – 環球股息基金 A類 Acc 美元
LU0731783048	富達基金 – 環球股息基金 A類 MInc 美元
LU0742537680	富達基金 – 環球股息基金 A類 MInc 港元
LU0237698757	富達基金 - 環球房地產基金 A類 Acc 歐元
LU0702159699	富達基金 - 亞洲小型公司基金 A類 Acc 美元
LU0370787193	富達基金 - 歐元企業債券基金 A類 Acc 歐元
LU0353647653	富達基金 - 歐洲股息基金 A類 Dis 歐元
LU0157922724	富達基金 - 環球焦點基金 A類 歐元
LU0157215616	富達基金 - 環球焦點基金 A類 美元
LU0267387255	富達基金 - 環球機遇基金 A類 Acc 歐元
LU0267386448	富達基金 - 環球機遇基金 A類 美元
LU0048621717	富達基金 - 英國基金 A類 Dis 英鎊
LU0261952922	富達基金 - 美元現金基金 A 類 Acc 美元
LU0882574055	富達基金 - 環球健康護理基金 A類 Acc 美元
LU0261952682	富達基金 - 歐盟50TM基金 A類 Acc 歐元
LU0261948227	富達基金 - 德國基金 A類 Acc 歐元
LU0882574212	富達基金 - 歐洲高收益基金A類MDis 美元(對沖)
LU0997586606	富達基金 - 歐洲增長基金 A類 Acc 美元 (對沖)
LU0997587240	富達基金 - 歐洲股息基金 A類 MDis 美元 (對沖)
LU0963029086	富達基金 - 美國基金 A類 Acc 澳元(對沖)
LU1046420805	富達基金 - 歐洲股息基金 A類 HMDIST(G) 澳元 (對沖)
LU0997586788	富達基金 - 歐洲小型公司基金 A類 Acc 美元 (對沖)
LU0971096721	富達基金 - 環球金融服務基金 A類 Dis 美元
HK0000423837	BMO 綜合平衡基金 (A類美元累算)
HK0000423845	BMO 綜合平衡基金 (A類美元每月分派)
HK0000423852	BMO 綜合平衡基金 (A類港元每月分派)
LU0125727601	安盛環球基金-泛靈頓歐洲增長 A類 Acc 歐元
LU0216734045	安盛環球基金-泛靈頓歐洲房地產 A類 Acc 歐元
LU0266012318	安盛環球基金-泛靈頓環球房地產 A類 Acc 美元
LU1196529876	安盛環球基金 - 亞洲短期債券 A Acc 美元
LU1774149642	安盛環球基金 - 亞洲短期債券 A MDis 美元
LU1042830981	安盛環球基金-泛靈頓歐洲房地產 A類 Acc 美元(對沖)
LU1105446931	安盛環球基金-泛靈頓歐洲房地產 A類 QDis 美元(對沖)
LU1105447079	安盛環球基金-泛靈頓歐洲房地產 A類 QDis 港元(對沖)
LU0502904849	富達基金 - 中國縱橫基金 A類 Acc 港元
LU0532244745	富達基金 - 亞洲高收益基金 A類 MDis 港元
LU0238206170	富達基金 - 新興市場債券基金 A類 MDis 美元
LU0605520377	富達基金 - 美元高收益基金 A類 Acc 美元
LU0532245395	富達基金 - 美元高收益基金 A類 MInc 港元
LU0594300179	富達基金 - 中國消費動力基金 A類 Acc 美元
LU0261959422	富達基金 - 歐洲動力增長基金 A類 Acc 歐元
LU0168053600	富達基金 - 歐洲高收益基金A類MDis 歐元
LU1046421878	富達基金 - 德國基金 A類 Acc 美元(對沖)
LU1046420474	富達基金 - 東協基金 A類 Acc 澳元 (對沖)
LU1046420714	富達基金 - 亞太股息基金 A類 MDis 澳元 (對沖)
LU1046420557	富達基金 - 太平洋基金 A類 Acc 澳元 (對沖)
LU1046421795	富達基金 - 環球科技基金 A類 Acc 美元
LU0605512275	富達基金 - 亞洲債券基金 A類 Acc 美元
LU0605512432	富達基金 - 亞洲債券基金 A類 MDis 美元
LU1371569200	富達基金 - 亞洲債券基金 A類 MINCOME(G) 美元
LU1371569465	富達基金 - 亞洲債券基金 A類 MINCOME(G) 港元
LU1371569549	富達基金 - 亞洲債券基金 A類 HMDIST(G) 澳元 (對沖)
LU0882574303	富達基金 - 環球收益基金 A類 Acc 美元
LU0882574568	富達基金 - 環球收益基金 A類 MINCOME(G)<U+00A0>美元
LU0997587323	富達基金 - 環球收益基金 A類<U+00A0>MINCOME(G)<U+00A0>美元 (對沖)
LU1481012216	富達基金 - 環球收益基金 A類<U+00A0>MINCOME(G) 港元 (對沖)
LU1816631466	富達基金 - 環球收益基金 A類<U+00A0> HMDIST(G)<U+00A0>澳元 (對沖)
LU0905233846	富達基金 - 環球多元收益基金 A類 Acc 美元
LU0905234141	富達基金 - 環球多元收益基金 A類 MINCOME(G) 美元
LU0905234497	富達基金 - 環球多元收益基金 A類 MINCOME(G) 港元
LU0982800228	富達基金 - 環球多元收益基金 A類 MINCOME(G) 澳元 (對沖)
LU1046420987	富達基金 - 環球多元收益基金 A類 HMDIST(G) 澳元 (對沖)
LU0905234067	富達基金 - 環球多元收益基金 A類 Acc 港元
LU1313547462	富達基金 - 中國高收益基金 A類 Acc 美元
LU1345481698	富達基金 - 中國高收益基金 A類 MINCOME(G) 美元 (對沖)
LU1345481854	富達基金 - 中國高收益基金 A類 MINCOME(G) 港元 (對沖)
LU1345482316	富達基金 - 中國高收益基金 A類 HMDIST(G) 澳元 (對沖)
LU0088927925	駿利亨德森遠見泛歐地產股票基金 A2類 Acc 歐元
LU0229494975	駿利亨德森遠見亞太地產股票基金 A2類 Acc 美元
LU0011890265	亨德森遠見日本小型公司基金 A2類 Acc 美元
LU0209137388	駿利亨德森遠見環球地產股票基金 A2類 Acc 美元
LU0011889846	駿利亨德森遠見歐元領域基金 A2類 Acc 歐元
LU0046217351	駿利亨德森遠見泛歐小型公司基金 A2類 Acc 歐元
LU0011889929	亨德森遠見日本機會基金 A2類 Acc 美元
LU0209156925	駿利亨德森遠見泛歐地產股票基金 A3類 Inc 歐元
LU0229494629	駿利亨德森遠見亞太地產股票基金 A1類 Inc 美元
LU0138821268	駿利亨德森遠見泛歐股票基金 A2類 Acc 歐元
LU0572942307	駿利亨德森遠見亞太地產股票基金 A2類 Acc 歐元
LU0264606111	駿利亨德森遠見亞洲股票收益基金 A2類 Acc 美元
LU0264605907	駿利亨德森遠見亞洲股票收益基金 A1類 Inc 美元
LU0011890851	駿利亨德森遠見亞洲增長基金 A2類 Acc 美元
LU0070992663	駿利亨德森遠見環球科技基金 A2類 Acc 美元
LU0327786744	亨德森遠見中國躍升基金 A2類 Acc 美元
LU0327786827	亨德森遠見中國躍升基金 A1 Inc 美元
LU0572944774	亨德森遠見中國躍升基金 A2類 Acc 歐元
LU0622223799	駿利亨德森遠見亞洲增長基金 A2類 Acc 歐元
LU0209157733	駿利亨德森遠見泛歐股票基金 A1類 Inc 歐元
LU0976556935	亨德森遠見日本小型公司基金 A2類 美元 (對沖)
HK0000204534	弘收人民幣債券基金 2A Acc USD
HK0000204559	弘收人民幣債券基金 2B Acc RMB
HK0000421419	弘收高收益波幅管理債券基金 2A 累積（美元）
HK0000421435	弘收高收益波幅管理債券基金 2B 累積（人民幣）
LU0028119526	景順日本小型企業基金 A類 Acc 日圓
LU0028118809	景順泛歐洲基金 A類 Acc 歐元
LU0028119013	景順全歐洲企業基金 A類 Acc 歐元
LU0123357419	景順能源基金 A類 Acc 美元
LU0367026217	景順亞洲平衡基金 A類 Acc 美元
LU0028120375	景順新興歐洲股票基金 A類 Acc 美元
LU0267985231	景順泛歐洲基金 A類 Dis 歐元
LU0267985660	景順英國高質債券基金 A類 Dis 英鎊
LU0267983889	景順印度股票基金 A類 Dis 美元
LU0823038988	東方匯理系列基金亞洲智選基金 A2U類 Acc 美元
LU0839533063	東方匯理系列基金環球債券基金 A2U類 Acc 美元
LU0823038715	東方匯理系列基金 - 東協焦點市場基金 A2U類 Acc 美元
LU0823045413	東方匯理系列基金印度基金A2U類 Acc 美元
LU0823046494	東方匯理系列基金 - 拉丁美洲股票基金  A2U類 Acc 美元
LU0823040885	東方匯理系列基金 - 新興市場內需基金 A2U類 Acc 美元
LU0823042071	東方匯理系列基金 - 環球農業基金 A2U類 Acc 美元
LU0568620560	東方匯理系列基金歐元貨幣市場基金 AE類 Acc 歐元
LU0568621618	東方匯理系列基金美元貨幣市場基金 AU類 Acc 美元
LU0839533220	東方匯理系列基金環球債券基金 A2U類 Dis 美元
LU0823039010	東方匯理系列基金亞洲智選基金 A2U類 Dis 美元
LU0823047385	東方匯理系列基金中東北非基金A2U類 Acc 美元
LU0028121183	景順美元極短期債券基金 A類 Acc 美元
LU0075112721	景順亞洲機遇股票基金 A類 Acc 美元
LU0048816135	景順大中華基金 A類 Acc 美元
LU0052864419	景順消閒基金 A類 Acc 美元
LU0149503202	景順美國藍籌指標增值基金 A類 Acc 美元
LU0119750205	景順歐洲指標增值基金 A類 Acc 歐元
LU0275062247	景順新興貨幣債券基金 A類 Acc 美元
LU0334857355	景順亞洲富強基金 A類 Acc 美元
LU0367025839	景順天下地產收益基金 A類 Dis 美元
LU0367024519	景順能源基金 A類 Acc 歐元 (對沖)
LU0505655562	景順金礦基金 A類 Acc 美元
LU0503256017	景順拉丁美洲股票基金A類 Acc 歐元 (對沖)
LU0505656297	景順拉丁美洲股票基金A類 Acc 美元
LU0275062080	景順新興貨幣債券基金 A類 MDis 美元
LU0100597557	景順美元極短期債券基金 C類 Acc 美元
LU0607514717	景順日本股票優勢基金 A類 Acc 日圓
LU0607522496	景順日本小型企業基金 A類 Dis 美元
LU0607513826	景順美國價值股票基金 A類 Acc 美元
LU0717748643	景順中國智選股票基金 A類 Acc 美元
LU0334858593	景順泛歐洲基金 A類 Dis 美元
LU0794788140	景順美國高收益債券基金 A類 MDis 港元
LU0794788066	景順美國高收益債券基金 A類 MDis(Fixed) 美元
LU0794787928	景順美國高收益債券基金 A類 Dis 歐元 (對沖)
LU0794787845	景順美國高收益債券基金 A類 Acc 歐元 (對沖)
LU0794787761	景順美國高收益債券基金 A類 Acc 美元
LU0717748213	景順亞洲債券基金 A類 Acc 美元
LU0607516688	景順新興市場企業債券基金 A類 Acc 美元
LU0607516332	景順新興市場企業債券基金 A類 MD 美元
LU0243957825	景順歐洲企業債券基金 A類 Acc 歐元
LU0248037169	景順歐洲企業債券基金 A類 MD 歐元
LU0607513230	景順環球股票收益基金 A類 Acc 美元
LU0607512778	景順已發展國家中小型企業基金 A類 Acc 美元
LU0267984937	景順環球指標增值基金 A類 Dis 美元
LU0607515367	景順日本價值股票基金 A類 Acc 日圓
LU0267986122	景順泛歐洲股票收益基金 A類 Acc 歐元
LU0243957239	景順泛歐洲收益策略基金 A類 Acc 歐元
LU1075211356	景順歐洲指標增值基金 A類 Acc 美元 (對沖)
LU1097691858	景順全歐洲企業基金 A類 Acc 美元 (對沖)
HK0000395928	景順一帶一路債券基金 A類 MDis 港元
HK0000395894	景順一帶一路債券基金 A類 Acc 美元
HK0000395902	景順一帶一路債券基金 A類 MDis 美元
LU1775947333	景順東協基金 A類 Dis 美元
LU1775951525	景順亞洲動力基金 A類 Dis 美元
LU1775961243	景順歐洲大陸企業基金 A類 Dis 美元
LU1775952507	景順開發中市場基金 A類 Dis 美元
LU1775982595	景順健康護理基金 A類 Dis 美元
LU1775975201	景順環球企業基金 A類 Dis 美元
LU0794789627	景順美國股票基金 A類 Dis 美元
LU1489827839	景順日本股息增長基金 A類 AD 美元
LU1775958025	景順韓國基金 A類 Dis 美元
LU1775965582	景順中國基金 A類 Dis 美元
LU1775964932	景順中國基金 A類 Acc 歐元 (對沖)
LU1775955278	景順新興市場債券基金 A類 MDis 美元
LU1775955435	景順新興市場債券基金 A類 MDis 港元
LU1775955864	景順新興市場債券基金 A類 SDis 美元
LU1775968685	景順環球高收益債券基金 A類 MDis 港元
LU1775969659	景順環球高收益債券基金 A類 Dis 美元
LU0085394566	宏利環球基金 - 新興東歐基金 A類 Dis 美元
LU0011869814	宏利環球基金 - 日本增長基金 A類 Dis 美元
LU0085394640	宏利環球基金 - 中華威力基金 A類 Dis 美元
LU0196878994	宏利環球基金 - 中華威力基金 AA類 Dis 美元
LU0196876865	宏利環球基金 - 新興東歐基金 AA類 Dis 美元
LU0011869731	宏利環球基金 - 歐洲增長基金 A類 Dis 美元
LU0274383263	宏利環球基金 - 印度股票基金 AA類 Acc 美元
LU0314103473	宏利環球基金 - 土耳其股票基金 AA類  Dis 美元
LU0278409577	宏利環球基金 - 環球資源基金 AA類 Acc 美元
LU0278409734	宏利環球基金 - 臺灣股票基金 AA類 Dis 美元
LU0274383776	宏利環球基金 - 美國小型公司基金 AA類 Acc 美元
LU0274383693	宏利環球基金 - 拉丁美洲股票基金 AA類 Dis 美元
LU0278409817	宏利環球基金 - 美國債券基金 AA類 Dis 美元
LU0386017924	宏利環球基金 - 亞洲威力派息股票基金 AA類 Dis 美元
LU0278410153	宏利環球基金 - 美國特別機會基金 AA類 Dis 美元
KYG5800M1050	宏利盈進基金SPC - 中國A股獨立資產組合 AA類 Acc 美元
KYG5800M1399	宏利盈進基金SPC - 人民幣債券獨立資產組合 AA類 Acc 美元
LU0314109678	宏利環球基金 - 巨龍增長基金 AA類 Dis 港元
LU0274383008	宏利環球基金 - 亞洲小型公司基金 AA類 Dis 美元
LU0507748050	宏利環球基金 - 亞洲總回報基金 AA類 Inc 美元
LU0314104364	宏利環球基金 - 美洲增長基金 AA類 Acc 美元
LU0314105171	宏利環球基金 - 亞洲股票基金 AA類 Dis 美元
LU0314106062	宏利環球基金 - 歐洲增長基金 AA類 Dis 美元
LU0278409221	宏利環球基金 - 環球房地產基金 AA類 Dis 美元
LU0357321016	宏利環球基金 - 康健護理基金 AA類 Acc 美元
LU0314106906	宏利環球基金 - 環球股票基金 AA類 Dis 美元
LU0314107540	宏利環球基金 - 日本增長基金 AA類 Dis 美元
LU0386018732	宏利環球基金 - 策略收益基金 AA類 Dis 美元
LU0011850392	貝萊德全球基金 - 新興歐洲基金 A2類 Acc 歐元
LU0047713382	貝萊德全球基金 - 新興市場基金 A2類 Acc 美元
LU0072463663	貝萊德全球基金 - 拉丁美洲基金 A2類 Acc 美元
LU0006061385	貝萊德全球基金 - 環球政府債券基金 A2類 Acc 美元
LU0050372472	貝萊德全球基金 - 歐元債券基金 A2 類Acc 歐元
LU0171280430	貝萊德全球基金 - 歐洲基金 A2類 Acc 美元
LU0171273575	貝萊德全球基金 - 新興歐洲基金 A2類 Acc 美元
LU0055631609	貝萊德全球基金 - 世界黃金基金 A2類 Acc 美元
LU0075056555	貝萊德全球基金 - 世界礦業基金 A2類 Acc 美元
LU0006061419	貝萊德全球基金 - 美元貨幣基金 A2類 Acc 美元
LU0006061252	貝萊德全球基金 - 日本中小型企業特別時機基金 A2類 Acc 美元
LU0035112944	貝萊德全球基金 - 太平洋股票基金 A2 類Acc 美元
LU0122376428	貝萊德全球基金 - 世界能源基金 A2類 Acc 美元
