"","LU0231483743","LU0243957239","HK0000065125","LU0261952682","LU0823388615"
"2016-02-17",5.78,14.18,16.5802,137.37,39.57
"2016-02-18",5.82,14.5,16.6234,137.81,41.02
"2016-02-19",5.8,14.32,16.6367,138.39,40.83
"2016-02-22",5.84,14.69,16.6547,139.72,41.4
"2016-02-23",5.87,14.63,16.6582,137.67,41.61
"2016-02-24",5.8,14.3,16.6539,136.09,41.67
"2016-02-25",5.85,14.6,16.6472,133.8,42
"2016-02-26",5.91,14.88,16.6822,133.83,41.99
"2016-02-29",5.92,14.93,16.6843,134.54,41.67
"2016-03-01",5.94,15.1,16.72,141.35,41.74
"2016-03-02",6.01,15.39,16.7445,144.11,42.3
"2016-03-03",6.02,15.36,16.7685,145.53,42.71
"2016-03-04",6.04,15.22,16.7748,147.54,43.24
"2016-03-07",6.06,15.34,16.7733,147.62,43.05
"2016-03-08",6.07,15.18,16.7847,147.25,42.94
"2016-03-09",6.05,15.17,16.7992,147.11,42.65
"2016-03-10",6.06,15.27,16.7905,147.58,42.64
"2016-03-11",6.08,15.2,16.9339,147.77,42.66
"2016-03-14",6.11,15.38,17.1034,147.95,43.38
"2016-03-15",6.1,15.28,17.0588,146.73,43.71
"2016-03-16",6.11,15.29,17.0297,147.04,43.27
"2016-03-17",6.13,15.13,17.0077,149.08,43.25
"2016-03-18",6.16,15.3,17.0346,151.73,43.99
"2016-03-21",6.16,15.31,17.0599,153.5,43.95
"2016-03-22",6.18,15.42,17.0469,152.81,44.39
"2016-03-23",6.17,15.37,17.0549,153.25,44.11
"2016-03-24",6.13,15.26,17.0724,152.48,44.03
"2016-03-29",6.13,15.24,17.0744,151.47,44.39
"2016-03-30",6.18,15.45,17.086,154.35,44.58
"2016-03-31",6.18,15.29,17.0789,155.53,44.25
"2016-04-01",6.17,15.22,17.096,156.28,42.98
"2016-04-04",6.21,15.33,17.116,157.34,43.43
"2016-04-05",6.18,15.17,17.1404,154.86,42.79
"2016-04-06",6.16,15.04,17.1528,155.56,42.73
"2016-04-07",6.2,15.16,17.1453,154.91,43.7
"2016-04-08",6.18,15.15,17.1498,154.91,44.08
"2016-04-11",6.2,15.14,17.1215,157.37,44.32
"2016-04-12",6.18,15.04,17.1104,158.73,44.78
"2016-04-13",6.22,15.42,17.1054,160.22,45.1
"2016-04-14",6.25,15.42,17.1454,160.23,46.06
"2016-04-15",6.26,15.42,17.1723,161.67,45.32
"2016-04-18",6.26,15.24,17.1884,161.78,45.72
"2016-04-19",6.29,15.33,17.1925,163.59,46.32
"2016-04-20",6.31,15.34,17.2117,162.2,45.92
"2016-04-21",6.32,15.49,17.2112,161.89,46.27
"2016-04-22",6.32,15.54,17.259,161.94,46.37
"2016-04-25",6.31,15.45,17.278,161.1,45.91
"2016-04-26",6.31,15.42,17.2606,160.8,45.45
"2016-04-27",6.31,15.24,17.2404,161.42,45.29
"2016-04-28",6.32,15.2,17.2497,158.76,44.97
"2016-04-29",6.28,14.72,17.2489,159.04,44.72
"2016-05-02",6.27,14.54,17.2562,158.65,45.53
"2016-05-03",6.26,14.47,17.2414,157.65,45.87
"2016-05-04",6.24,14.4,17.2879,155.47,45.48
"2016-05-05",NA,NA,17.2879,NA,NA
"2016-05-06",6.21,14.39,17.2868,155.07,45.49
