"","LU0231455378","LU0348766576","LU0476943617","LU0171273575","LU0275062080"
"2017-12-07",86.96,55.1397,11.31,11.67,10.38
"2017-12-08",86.83,55.5602,11.28,11.71,10.36
"2017-12-11",86.91,55.9059,11.4,11.87,10.37
"2017-12-12",86.92,55.703,11.33,11.77,10.35
"2017-12-13",86.95,55.5419,11.38,11.84,10.36
"2017-12-14",86.98,55.7935,11.42,11.84,10.38
"2017-12-15",86.99,56.2494,11.32,11.75,10.38
"2017-12-18",87.09,56.3743,11.41,11.76,10.37
"2017-12-19",87.17,56.7274,11.46,11.9,10.36
"2017-12-20",87.18,56.998,11.49,11.95,10.34
"2017-12-21",87.15,57.3185,11.56,12.06,10.34
"2017-12-22",87.11,57.8906,11.59,12.03,10.34
"2017-12-26",,,11.58,,10.35
"2017-12-27",87.12,58.4575,11.77,11.95,10.36
"2017-12-28",87.25,58.3194,11.87,12.08,10.37
"2017-12-29",87.31,58.7999,11.91,12.14,10.38
"2018-01-02",87.33,59.0154,12.11,12.32,10.37
"2018-01-03",87.47,58.9769,12.18,12.33,10.38
"2018-01-04",87.7,59.5231,12.35,12.37,10.37
"2018-01-05",87.92,60.0382,12.41,12.42,10.37
"2018-01-08",88.04,60.458,12.44,12.47,10.37
"2018-01-09",88.03,60.1025,12.37,12.45,10.36
"2018-01-10",87.98,60.3421,12.43,12.55,10.33
"2018-01-11",87.79,60.47,12.43,12.51,10.34
"2018-01-12",87.88,60.2359,12.58,12.68,10.35
"2018-01-15",87.86,60.1662,12.48,12.78,10.35
"2018-01-16",87.88,59.8207,12.54,12.86,10.36
"2018-01-17",87.84,60.1744,12.54,12.8,10.36
"2018-01-18",87.85,59.6751,12.52,12.89,10.34
"2018-01-19",87.78,59.8817,12.7,12.94,10.32
"2018-01-22",87.69,60.25,12.7,13.05,10.31
"2018-01-23",87.69,60.4635,12.94,13.16,10.32
"2018-01-24",87.78,60.6757,12.98,13.25,10.31
"2018-01-25",87.84,60.654,13.02,13.29,10.32
"2018-01-26",87.91,,13.1,13.33,10.31
"2018-01-29",87.98,60.7228,13.16,13.12,10.29
"2018-01-30",87.83,59.963,12.94,13.03,10.26
"2018-01-31",87.63,59.4911,12.91,13.2,10.28
"2018-02-01",87.73,59.4256,12.86,13.19,10.27
"2018-02-02",87.64,57.4923,12.85,13.3,10.23
"2018-02-05",87.39,57.1927,12.57,13.32,10.21
"2018-02-06",87.09,56.082,12.5,13.07,10.25
"2018-02-07",86.87,56.231,12.26,12.78,10.23
"2018-02-08",87.08,56.9034,12.06,12.53,10.2
"2018-02-09",86.63,56.3308,12.03,12.23,10.18
"2018-02-12",86.02,57.0417,12.04,12.32,10.17
"2018-02-13",86.24,,12.11,12.44,10.18
"2018-02-14",86.01,57.2654,12.24,12.55,10.17
"2018-02-15",85.95,57.4925,12.39,,10.15
"2018-02-16",86.29,57.0157,12.4,,10.16
"2018-02-19",86.64,,12.45,,10.17
"2018-02-20",86.69,56.1947,12.32,,10.15
"2018-02-21",86.65,56.0544,12.34,,10.15
"2018-02-22",86.63,55.8511,12.25,12.72,10.14
"2018-02-23",86.49,56.7415,12.35,12.78,10.16
"2018-02-26",86.54,56.7753,12.36,12.95,10.18
"2018-02-27",86.8,56.5058,12.29,12.79,10.16
"2018-02-28",86.77,56.1798,12.17,12.66,10.17
"2018-03-01",86.72,56.1546,12.14,12.66,10.18
"2018-03-02",86.56,,12.03,12.58,10.18
"2018-03-05",86.41,56.0004,11.96,12.6,10.17
"2018-03-06",86.52,55.6074,12.08,12.71,10.15
"2018-03-07",86.67,55.2516,11.92,12.69,10.17
"2018-03-08",86.67,55.2583,12.04,12.78,10.15
"2018-03-09",86.66,55.1209,12.13,12.85,10.15
"2018-03-12",86.77,55.7069,12.31,12.9,10.15
"2018-03-13",86.78,56.1554,12.27,12.79,10.14
"2018-03-14",86.71,56.1221,12.25,12.8,10.17
"2018-03-15",86.66,56.3114,12.24,12.86,10.17
"2018-03-16",86.58,55.6288,12.19,12.75,10.16
"2018-03-19",86.58,,12.13,12.8,10.14
"2018-03-20",86.47,54.9523,12.14,12.86,10.12
"2018-03-21",86.43,54.8248,12.14,12.81,10.1
"2018-03-22",86.45,54.6819,11.91,12.67,10.13
"2018-03-23",86.33,54.2629,11.75,12.47,10.13
"2018-03-26",86.22,54.5478,11.96,12.5,10.12
"2018-03-27",86.24,54.6505,11.72,12.55,10.12
"2018-03-28",86.37,54.3173,11.71,12.35,10.18
"2018-03-29",86.35,,11.82,12.47,10.15
"2018-03-30",,,,,10.16
"2018-04-02",,,11.71,,10.17
"2018-04-03",86.43,55.7578,11.79,12.44,10.16
"2018-04-04",86.48,55.183,11.61,12.34,10.16
"2018-04-05",86.54,56.1682,11.66,,10.12
"2018-04-06",86.79,56.3142,11.63,,10.14
"2018-04-09",86.85,56.264,11.82,12.35,10.15
"2018-04-10",86.8,56.2285,11.94,12.57,10.14
"2018-04-11",86.93,56.249,11.96,12.59,10.17
"2018-04-12",86.95,56.2403,11.95,12.52,10.15
"2018-04-13",87.09,56.5025,11.87,12.46,10.15
"2018-04-16",87.21,56.443,11.84,12.32,10.13
"2018-04-17",87.25,56.2214,11.75,12.17,10.14
"2018-04-18",87.32,56.1681,11.8,12.2,10.14
"2018-04-19",87.29,56.2975,11.96,12.34,10.1
"2018-04-20",86.99,56.5199,11.85,12.17,10.09
"2018-04-23",86.87,56.2812,11.72,12.12,10.05
"2018-04-24",86.73,56.3729,11.69,12.32,10.05
"2018-04-25",86.64,55.718,11.51,12.27,10.03
"2018-04-26",86.39,55.8578,11.47,12.11,10.03
"2018-04-27",86.44,56.0321,11.57,12.08,10.04
"2018-04-30",86.43,,11.65,,10.05
"2018-05-01",86.38,,11.64,,10.06
"2018-05-02",86.2,56.2917,11.61,12.08,10.04
"2018-05-03",86.07,56.1815,11.51,12.17,10.04
"2018-05-04",85.92,55.4921,11.54,12.13,10.04
"2018-05-07",85.92,,11.62,12.27,10.02
"2018-05-08",85.94,55.5884,11.6,12.37,10
"2018-05-09",85.76,55.3304,11.57,12.37,9.98
"2018-05-10",85.64,54.8199,11.67,12.47,9.98
"2018-05-11",85.88,55.1091,11.68,12.46,9.99
"2018-05-14",85.96,54.6683,11.7,12.54,9.98
"2018-05-15",85.96,54.2765,11.58,12.54,9.96
"2018-05-16",85.74,54.5889,11.61,12.46,9.94
"2018-05-17",85.78,54.8141,11.56,12.39,9.93
"2018-05-18",85.72,54.0976,11.55,12.47,9.9
"2018-05-21",85.6,53.2762,11.58,12.5,9.91
"2018-05-22",85.58,53.613,11.63,,9.93
"2018-05-23",85.6,52.8438,11.63,12.33,9.96
"2018-05-24",85.59,53.2414,11.68,12.27,9.99
"2018-05-25",85.6,53.9505,11.7,12.27,10
"2018-05-28",85.6,54.7398,11.67,12.29,10.03
"2018-05-29",85.53,54.3237,11.58,12.17,10.04
"2018-05-30",85.31,54.5871,11.57,12.01,10.02
"2018-05-31",85.41,54.6313,11.54,12.25,10.02
"2018-06-01",85.3,54.7185,11.63,12.13,10.03
"2018-06-04",85.3,,11.79,12.25,10
